Id stazione: 200, località: weather two
49.3  221.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   27.710   13.070    0.000  100.000   31.350    0.779   14.369
   24.920   13.200    0.000   83.760   26.160    0.566   12.207
   29.490   11.250    0.000  100.000   28.500    0.455   24.357
   28.970   11.640    0.000  100.000   35.070    0.544   24.270
   27.810   12.870    0.000  100.000   40.770    0.662   14.893
   27.060   11.980    0.000  100.000   40.120    0.528   24.299
   29.130   14.210    0.000  100.000   38.450    0.453   17.414
   23.270   17.320    6.330   97.490   54.080    0.845    6.928
   20.580   16.980    4.450   97.400   64.290    1.539    4.833
   16.630   11.460    8.900   97.640   56.940    0.683    6.419
   22.010    7.190    0.000  100.000   46.170    0.374   25.954
   25.800   10.010    0.000  100.000   44.500    0.425   22.743
   24.530   12.600    0.000  100.000   47.320    0.479   14.785
   25.160   15.930    2.570   97.400   44.660    0.986   15.160
   23.890   14.680    3.250   83.710   32.540    1.182    9.797
   22.740   15.220    0.000   96.240   43.760    0.575    9.346
   19.160   13.440   15.450  100.000   68.420    0.716    4.821
   17.400   11.560    2.870   87.930   41.640    1.227   12.843
   20.780   11.260    0.000   97.600   42.120    0.782   13.719
   25.990   13.100    0.000   97.300   34.580    0.796   24.292
   26.600   14.090    0.000   90.090   30.870    0.729   26.917
   25.270   12.000    1.150  100.000   42.460    0.409   22.484
   21.900   14.770   14.470  100.000   61.300    0.594    8.879
   23.250   12.750    0.000   81.130   28.840    1.079   24.477
   20.380   13.130    5.870   97.310   47.160    0.510   15.154
   17.970   11.020    3.940  100.000   56.740    0.773   11.386
   18.890    7.860    2.800  100.000   45.550    0.621   17.998
   19.390    7.450    0.000  100.000   44.790    0.428   24.020
   19.660    8.280    3.340  100.000   46.560    0.500   17.753
   18.130    8.830    9.480  100.000   57.120    0.618    6.809
   17.970    9.100    4.020  100.000   57.650    0.572   11.541
   21.790   13.530    0.000   72.170   28.860    1.499   27.184
   23.560    7.320    0.000   97.990   33.900    0.647   28.009
   24.930   10.560    0.000  100.000   46.470    0.431   18.072
   26.380    9.600    0.000   97.400   30.260    0.714   25.125
   27.920   12.740    0.000   90.400   28.760    0.776   24.691
   29.710   13.010    0.000  100.000   35.950    0.360   21.100
   30.360   15.360    0.000   95.050   30.980    0.560   24.744
   31.650   16.790    0.000   95.130   30.530    0.618   21.333
   30.720   18.110    0.000   85.500   30.680    0.629   20.450
   29.960   16.770    0.000   97.200   36.830    0.712   17.438
   24.240   16.770   14.290  100.000   59.550    1.132    6.028
   18.260   15.220   19.260  100.000   79.550    0.642    7.946
   23.210   16.130    6.850  100.000   67.260    0.774    6.216
   26.880   15.650    0.000  100.000   52.460    0.420   26.176
   27.940   16.310    0.000  100.000   49.000    0.469   19.814
   28.830   16.060    0.000  100.000   48.910    0.479   21.628
   28.960   15.620    0.000  100.000   49.570    0.367   20.126
   29.280   16.470    0.000  100.000   46.140    0.344   17.331
   29.080   16.830    0.000   97.980   46.390    0.531   19.358
   29.660   15.570    0.000  100.000   44.610    0.545   19.174
   28.580   17.510    1.400   97.200   43.540    0.536   21.817
   27.610   18.220   13.410  100.000   58.540    0.533   14.268
   28.330   17.710   17.370  100.000   55.610    0.368   17.368
   28.470   16.630    0.000  100.000   51.580    0.559   19.866
   27.610   16.120    5.220   98.000   49.450    0.534   19.179
   21.320   17.310   37.320  100.000   88.100    0.415    3.947
   23.270   15.230   26.220  100.000   74.380    0.364    8.215
   20.950   15.090   18.380  100.000   75.380    0.602    4.504
   23.060   15.960    0.000  100.000   63.470    0.431   17.396
   25.660   15.170    0.000  100.000   58.340    0.344   18.971
   26.790   15.340    0.000  100.000   59.590    0.220   24.075
   27.260   17.870    0.000  100.000   60.020    0.358   17.669
   28.030   16.770    0.000  100.000   56.080    0.353   19.713
   27.850   18.040    0.000   98.000   55.500    0.339   16.211
   23.900   18.430    0.000   97.300   61.140    0.492    8.251
   27.140   17.610    0.000   84.130   42.200    0.955   21.863
   27.630   16.330    0.000   97.390   48.310    0.523   22.027
   28.080   15.760    0.000  100.000   52.060    0.290   21.542
   29.090   17.730    0.000   97.700   50.210    0.402   21.076
   29.220   18.360    0.000   97.400   49.340    0.537   17.307
   29.470   19.050    0.000   97.300   49.570    0.613   19.227
   28.890   18.570    1.190   97.400   51.530    0.657   12.689
   27.560   17.380    6.340  100.000   61.440    0.418   12.318
   29.010   16.490    0.000  100.000   52.530    0.254   20.933
   29.820   17.870    0.000   97.300   46.040    0.389   20.010
   28.760   17.740    6.950   98.320   53.290    0.493   15.868
   30.110   16.290    0.000  100.000   48.360    0.632   21.354
   30.000   19.730    0.000   78.500   38.460    0.653   20.042
   31.200   19.810    0.000   63.950   24.610    0.645   21.939
   30.260   19.060    0.000   88.000   41.740    0.481   20.017
   30.560   19.170    0.000   84.690   38.260    0.437   20.056
   30.990   19.510    0.000   89.480   42.170    0.454   19.261
   31.820   20.270    0.000   87.240   40.440    0.521   22.298
   31.270   19.990    0.000   92.960   44.380    0.374   19.974
   32.470   21.170    0.000   80.150   36.810    0.385   19.015
   33.820   21.890    0.000   82.110   36.720    0.595   19.587
   34.120   22.740    0.000   85.670   40.820    0.676   18.740
   31.400   20.480    0.000   54.090   21.570    0.593   21.956
   30.840   20.850    0.000   51.790   22.550    0.478   17.651
   31.890   20.880    0.000   68.280   30.200    0.723   23.406
   33.300   21.790    0.000   74.770   33.150    0.421   20.118
   31.930   22.290    0.000   86.610   44.830    0.512   14.199
   31.130   19.850    3.470  100.000   55.500    0.248   11.252
   30.580   18.770    0.000   92.290   42.830    0.481   20.239
   30.550   19.590    0.000   80.270   38.620    0.494   18.684
   31.430   20.300    0.000   70.600   30.660    0.546   19.718
   30.040   19.890    0.000   82.550   42.060    0.810   16.695
   31.060   18.170    0.000   74.050   26.620    0.425   20.647
   32.810   19.560    0.000   71.060   24.230    0.480   16.994
   33.520   21.980    0.000   77.790   35.330    0.642   16.141
   32.690   19.920    0.000   97.190   45.330    0.511   19.313
   31.700   21.460    0.000   53.750   22.860    1.348   20.979
   30.770   20.530    0.000   51.660   22.240    0.782   20.689
   30.930   19.220    0.000   65.270   27.160    0.445   19.854
   31.560   20.180    0.000   68.510   29.190    0.418   21.432
   33.120   22.020    0.000   63.330   25.800    0.405   18.524
   35.220   22.790    0.000   65.710   27.580    0.557   19.493
   38.770   24.370    0.000   73.920   28.080    0.603   18.312
