Id station: 100, location: West demo station
45.496782  120.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   15.800    7.600    0.000   77.500   40.200    1.025   17.222
   18.200    5.800    0.000   93.800   33.800    0.740   21.350
   20.500    5.000    1.000   91.000   25.700    1.062   23.954
   19.300    9.800    0.200   78.000   36.700    1.219   20.623
   20.000    7.800    0.000   94.200   40.800    0.890   22.773
   21.400    8.900    0.000   89.800   39.300    0.905   22.781
   23.100    9.700    0.000   84.500   31.000    0.860   24.446
   25.100   10.200    0.000   77.500   29.000    0.995   23.931
   17.100   11.500    0.000   85.000   49.500    1.114    6.404
   16.200    9.800    1.200   91.800   60.500    0.898    8.770
   19.600   11.700    0.100   88.800   46.200    0.800   14.509
   15.200   13.000    8.300   98.000   82.300    0.860    2.993
   19.300   12.000    0.100   99.000   62.500    0.718   10.446
   17.100   12.000   35.900   98.000   81.300    1.092    5.584
   21.700   10.000    2.300   99.000   26.700    1.272   24.613
   19.600   10.000    0.000   90.500   38.000    1.189   25.019
   21.700    7.800    0.000   95.800   32.300    1.122   24.514
   21.500   11.300    0.000   83.000   48.000    0.950   15.119
   20.300    7.300    0.000   90.300   50.300    1.286   18.867
   24.400   11.000    0.000   83.800   18.000    1.361   23.372
   21.700   10.600    0.000   84.500   40.000    1.032   24.781
   23.600    9.100    0.000   91.700   43.300    0.718   22.386
   23.700   13.900    0.000   88.300   40.200    0.957   13.323
   17.200   12.500   19.900   95.000   65.800    1.309    3.307
   24.000   10.200    0.000   98.000   35.800    1.107   25.021
   23.800   12.700    3.100   83.000   32.800    1.331   22.399
   20.700    9.100    5.500   98.000   42.700    0.883   14.997
   20.200    8.000    0.200   99.000   44.800    0.696   14.779
   18.800   10.000    1.500   98.000   57.700    0.636    7.507
   24.200   11.100    4.300   97.800   19.200    1.092   26.992
   25.000    8.200    1.200   90.200   19.000    1.017   24.923
   24.000    8.500    0.200   96.800   17.700    1.227   27.216
   24.600    8.300    0.000   93.300   14.800    1.025   29.622
   23.500   11.600    0.200   75.200   30.000    1.219   22.883
   21.000   12.000    3.800   95.800   49.800    1.114   15.779
   26.000   14.800    0.000   82.000   26.000    0.972   24.847
   15.500   12.900   25.100   97.000   72.500    0.957    3.330
   23.900   11.000    0.000   98.700   18.000    1.062   28.669
   23.300   10.100    0.000   86.000   39.000    1.062   29.353
   26.500   11.800    0.000   79.800   32.000    0.950   27.617
   25.500   13.100    0.000   78.500   42.700    1.062   26.963
   26.500   15.800    0.000   64.200   36.500    1.219   24.355
   24.500   15.000    0.000   77.700   34.800    1.369   29.169
   24.500   14.600    0.000   76.700   37.000    1.369   25.795
   25.800   14.700    0.000   74.500   36.700    1.040   26.302
   25.600   17.000    0.000   67.200   34.500    1.107   22.736
   28.900   16.900    0.000   77.300   26.700    0.890   28.659
   30.800   15.400    0.000   72.000   25.800    0.935   27.294
